restaurant_id,restaurant_name,neighborhood,cuisine_type,avg_prep_time_baseline
REST_001,Partner Kitchen1,Gòtic,Mexican,24
REST_002,Partner Kitchen2,Poblenou,Mexican,14
REST_003,Partner Kitchen3,Gràcia,Pizza,16
REST_004,Partner Kitchen4,Poblenou,Pizza,17
REST_005,Partner Kitchen5,Sarrià,Healthy/Salads,17
REST_006,Partner Kitchen6,Poblenou,Tacos,14
REST_007,Partner Kitchen7,Gràcia,Healthy/Salads,23
REST_008,Partner Kitchen8,Sants,Sushi,21
REST_009,Partner Kitchen9,Sarrià,Burgers,21
REST_010,Partner Kitchen10,Gràcia,Tacos,22
REST_011,Partner Kitchen11,Gòtic,Burgers,10
REST_012,Partner Kitchen12,Poblenou,Pizza,24
REST_013,Partner Kitchen13,Gràcia,Healthy/Salads,21
REST_014,Partner Kitchen14,Sants,Tacos,24
REST_015,Partner Kitchen15,Sants,Pizza,21
REST_016,Partner Kitchen16,Gòtic,Burgers,12
REST_017,Partner Kitchen17,Sarrià,Pizza,16
REST_018,Partner Kitchen18,Sarrià,Burgers,16
REST_019,Partner Kitchen19,Gràcia,Healthy/Salads,18
REST_020,Partner Kitchen20,Gòtic,Tacos,11
REST_021,Partner Kitchen21,Gràcia,Burgers,19
REST_022,Partner Kitchen22,Sarrià,Sushi,13
REST_023,Partner Kitchen23,Gòtic,Healthy/Salads,16
REST_024,Partner Kitchen24,Gòtic,Mexican,17
REST_025,Partner Kitchen25,Poblenou,Tacos,10
REST_026,Partner Kitchen26,Gòtic,Sushi,17
REST_027,Partner Kitchen27,Gòtic,Sushi,23
REST_028,Partner Kitchen28,Sants,Tacos,19
REST_029,Partner Kitchen29,Gòtic,Tacos,22
REST_030,Partner Kitchen30,Gràcia,Sushi,21
REST_031,Partner Kitchen31,Gràcia,Sushi,23
REST_032,Partner Kitchen32,Gòtic,Tacos,24
REST_033,Partner Kitchen33,Sants,Healthy/Salads,18
REST_034,Partner Kitchen34,Sants,Mexican,22
REST_035,Partner Kitchen35,Gràcia,Mexican,17
REST_036,Partner Kitchen36,Gràcia,Burgers,21
REST_037,Partner Kitchen37,Gòtic,Healthy/Salads,22
REST_038,Partner Kitchen38,Eixample,Mexican,24
REST_039,Partner Kitchen39,Sarrià,Burgers,18
REST_040,Partner Kitchen40,Eixample,Burgers,21
REST_041,Partner Kitchen41,Poblenou,Pizza,10
REST_042,Partner Kitchen42,Poblenou,Pizza,10
REST_043,Partner Kitchen43,Poblenou,Mexican,19
REST_044,Partner Kitchen44,Gràcia,Burgers,21
REST_045,Partner Kitchen45,Eixample,Healthy/Salads,11
REST_046,Partner Kitchen46,Eixample,Tacos,17
REST_047,Partner Kitchen47,Sarrià,Pizza,21
REST_048,Partner Kitchen48,Sants,Pizza,12
REST_049,Partner Kitchen49,Eixample,Pizza,14
REST_050,Partner Kitchen50,Sants,Pizza,10
